"candidato","votos","porcentaje","partido","municipio","departamento","dane"
"GONZALO GUARIN VIVAS",182,8.35,"PARTIDO CENTRO DEMOCRÁTICO","EL COCUY","Boyacá","07082"
"CESAR AUGUSTO PACHON ACHURY",164,7.52,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","EL COCUY","Boyacá","07082"
"JUAN DE JESUS CORDOBA SUAREZ",108,4.95,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","EL COCUY","Boyacá","07082"
"OSMAN HIPOLITO ROA SARMIENTO",642,44.3,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","EL ESPINO","Boyacá","07085"
"GONZALO GUARIN VIVAS",325,22.42,"PARTIDO CENTRO DEMOCRÁTICO","EL ESPINO","Boyacá","07085"
"CARLOS ANDRES AMAYA RODRIGUEZ",299,20.63,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","EL ESPINO","Boyacá","07085"
"JUAN DE JESUS CORDOBA SUAREZ",86,5.93,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","EL ESPINO","Boyacá","07085"
"CESAR AUGUSTO PACHON ACHURY",52,3.58,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","EL ESPINO","Boyacá","07085"
"CARLOS ANDRES AMAYA RODRIGUEZ",1702,49.82,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","FIRAVITOBA","Boyacá","07088"
"OSMAN HIPOLITO ROA SARMIENTO",883,25.84,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","FIRAVITOBA","Boyacá","07088"
"CESAR AUGUSTO PACHON ACHURY",416,12.17,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","FIRAVITOBA","Boyacá","07088"
"JUAN DE JESUS CORDOBA SUAREZ",173,5.06,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","FIRAVITOBA","Boyacá","07088"
"GONZALO GUARIN VIVAS",126,3.68,"PARTIDO CENTRO DEMOCRÁTICO","FIRAVITOBA","Boyacá","07088"
"OSMAN HIPOLITO ROA SARMIENTO",999,43.91,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","FLORESTA","Boyacá","07091"
"CARLOS ANDRES AMAYA RODRIGUEZ",986,43.34,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","FLORESTA","Boyacá","07091"
"CESAR AUGUSTO PACHON ACHURY",115,5.05,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","FLORESTA","Boyacá","07091"
"GONZALO GUARIN VIVAS",74,3.25,"PARTIDO CENTRO DEMOCRÁTICO","FLORESTA","Boyacá","07091"
"JUAN DE JESUS CORDOBA SUAREZ",59,2.59,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","FLORESTA","Boyacá","07091"
"OSMAN HIPOLITO ROA SARMIENTO",813,38.31,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","GACHANTIVA","Boyacá","07094"
"CESAR AUGUSTO PACHON ACHURY",572,26.95,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","GACHANTIVA","Boyacá","07094"
"CARLOS ANDRES AMAYA RODRIGUEZ",396,18.66,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","GACHANTIVA","Boyacá","07094"
"JUAN DE JESUS CORDOBA SUAREZ",198,9.33,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","GACHANTIVA","Boyacá","07094"
"GONZALO GUARIN VIVAS",73,3.44,"PARTIDO CENTRO DEMOCRÁTICO","GACHANTIVA","Boyacá","07094"
"OSMAN HIPOLITO ROA SARMIENTO",1124,41.24,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","GAMEZA","Boyacá","07097"
"CARLOS ANDRES AMAYA RODRIGUEZ",956,35.08,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","GAMEZA","Boyacá","07097"
"CESAR AUGUSTO PACHON ACHURY",324,11.88,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","GAMEZA","Boyacá","07097"
"GONZALO GUARIN VIVAS",128,4.69,"PARTIDO CENTRO DEMOCRÁTICO","GAMEZA","Boyacá","07097"
"JUAN DE JESUS CORDOBA SUAREZ",100,3.66,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","GAMEZA","Boyacá","07097"
"CARLOS ANDRES AMAYA RODRIGUEZ",3237,45.7,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","GARAGOA","Boyacá","07100"
"OSMAN HIPOLITO ROA SARMIENTO",2340,33.03,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","GARAGOA","Boyacá","07100"
"CESAR AUGUSTO PACHON ACHURY",456,6.43,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","GARAGOA","Boyacá","07100"
"JUAN DE JESUS CORDOBA SUAREZ",446,6.29,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","GARAGOA","Boyacá","07100"
"GONZALO GUARIN VIVAS",330,4.65,"PARTIDO CENTRO DEMOCRÁTICO","GARAGOA","Boyacá","07100"
"OSMAN HIPOLITO ROA SARMIENTO",786,71.84,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","GUACAMAYAS","Boyacá","07103"
"CARLOS ANDRES AMAYA RODRIGUEZ",142,12.97,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","GUACAMAYAS","Boyacá","07103"
"GONZALO GUARIN VIVAS",103,9.41,"PARTIDO CENTRO DEMOCRÁTICO","GUACAMAYAS","Boyacá","07103"
"CESAR AUGUSTO PACHON ACHURY",18,1.64,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","GUACAMAYAS","Boyacá","07103"
"JUAN DE JESUS CORDOBA SUAREZ",12,1.09,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","GUACAMAYAS","Boyacá","07103"
"CARLOS ANDRES AMAYA RODRIGUEZ",2386,46.66,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","GUATEQUE","Boyacá","07106"
"OSMAN HIPOLITO ROA SARMIENTO",1273,24.89,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","GUATEQUE","Boyacá","07106"
"CESAR AUGUSTO PACHON ACHURY",923,18.05,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","GUATEQUE","Boyacá","07106"
"GONZALO GUARIN VIVAS",158,3.09,"PARTIDO CENTRO DEMOCRÁTICO","GUATEQUE","Boyacá","07106"
"JUAN DE JESUS CORDOBA SUAREZ",134,2.62,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","GUATEQUE","Boyacá","07106"
"CARLOS ANDRES AMAYA RODRIGUEZ",898,37.21,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","GUAYATA","Boyacá","07109"
"OSMAN HIPOLITO ROA SARMIENTO",862,35.72,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","GUAYATA","Boyacá","07109"
"CESAR AUGUSTO PACHON ACHURY",336,13.92,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","GUAYATA","Boyacá","07109"
"JUAN DE JESUS CORDOBA SUAREZ",197,8.16,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","GUAYATA","Boyacá","07109"
"GONZALO GUARIN VIVAS",50,2.07,"PARTIDO CENTRO DEMOCRÁTICO","GUAYATA","Boyacá","07109"
"CARLOS ANDRES AMAYA RODRIGUEZ",907,48.52,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","GUICAN","Boyacá","07112"
"OSMAN HIPOLITO ROA SARMIENTO",393,21.02,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","GUICAN","Boyacá","07112"
"GONZALO GUARIN VIVAS",392,20.97,"PARTIDO CENTRO DEMOCRÁTICO","GUICAN","Boyacá","07112"
"CESAR AUGUSTO PACHON ACHURY",79,4.22,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","GUICAN","Boyacá","07112"
"JUAN DE JESUS CORDOBA SUAREZ",49,2.62,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","GUICAN","Boyacá","07112"
"CARLOS ANDRES AMAYA RODRIGUEZ",711,47.08,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","IZA","Boyacá","07118"
"OSMAN HIPOLITO ROA SARMIENTO",271,17.94,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","IZA","Boyacá","07118"
"CESAR AUGUSTO PACHON ACHURY",241,15.96,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","IZA","Boyacá","07118"
"GONZALO GUARIN VIVAS",197,13.04,"PARTIDO CENTRO DEMOCRÁTICO","IZA","Boyacá","07118"
"JUAN DE JESUS CORDOBA SUAREZ",29,1.92,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","IZA","Boyacá","07118"
"OSMAN HIPOLITO ROA SARMIENTO",1490,43.52,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","JENESANO","Boyacá","07121"
"CARLOS ANDRES AMAYA RODRIGUEZ",907,26.49,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","JENESANO","Boyacá","07121"
"CESAR AUGUSTO PACHON ACHURY",694,20.27,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","JENESANO","Boyacá","07121"
"GONZALO GUARIN VIVAS",188,5.49,"PARTIDO CENTRO DEMOCRÁTICO","JENESANO","Boyacá","07121"
"JUAN DE JESUS CORDOBA SUAREZ",54,1.57,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","JENESANO","Boyacá","07121"
"CARLOS ANDRES AMAYA RODRIGUEZ",919,49.78,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","JERICO","Boyacá","07124"
"OSMAN HIPOLITO ROA SARMIENTO",469,25.4,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","JERICO","Boyacá","07124"
"GONZALO GUARIN VIVAS",251,13.59,"PARTIDO CENTRO DEMOCRÁTICO","JERICO","Boyacá","07124"
"JUAN DE JESUS CORDOBA SUAREZ",103,5.57,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","JERICO","Boyacá","07124"
"CESAR AUGUSTO PACHON ACHURY",51,2.76,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","JERICO","Boyacá","07124"
"OSMAN HIPOLITO ROA SARMIENTO",918,53.59,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","LA CAPILLA","Boyacá","07130"
"CESAR AUGUSTO PACHON ACHURY",340,19.84,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","LA CAPILLA","Boyacá","07130"
"JUAN DE JESUS CORDOBA SUAREZ",176,10.27,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","LA CAPILLA","Boyacá","07130"
"CARLOS ANDRES AMAYA RODRIGUEZ",145,8.46,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","LA CAPILLA","Boyacá","07130"
"GONZALO GUARIN VIVAS",79,4.61,"PARTIDO CENTRO DEMOCRÁTICO","LA CAPILLA","Boyacá","07130"
"CARLOS ANDRES AMAYA RODRIGUEZ",612,37.52,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","LA UVITA","Boyacá","07136"
"OSMAN HIPOLITO ROA SARMIENTO",368,22.56,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","LA UVITA","Boyacá","07136"
"CESAR AUGUSTO PACHON ACHURY",338,20.72,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","LA UVITA","Boyacá","07136"
"GONZALO GUARIN VIVAS",195,11.95,"PARTIDO CENTRO DEMOCRÁTICO","LA UVITA","Boyacá","07136"
"JUAN DE JESUS CORDOBA SUAREZ",72,4.41,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","LA UVITA","Boyacá","07136"
"GONZALO GUARIN VIVAS",427,46.31,"PARTIDO CENTRO DEMOCRÁTICO","LA VICTORIA","Boyacá","07137"
"OSMAN HIPOLITO ROA SARMIENTO",231,25.05,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","LA VICTORIA","Boyacá","07137"
"CARLOS ANDRES AMAYA RODRIGUEZ",167,18.11,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","LA VICTORIA","Boyacá","07137"
"JUAN DE JESUS CORDOBA SUAREZ",40,4.33,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","LA VICTORIA","Boyacá","07137"
"CESAR AUGUSTO PACHON ACHURY",7,0.75,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","LA VICTORIA","Boyacá","07137"
"OSMAN HIPOLITO ROA SARMIENTO",1007,55.14,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","LABRANZAGRANDE","Boyacá","07127"
"CARLOS ANDRES AMAYA RODRIGUEZ",620,33.95,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","LABRANZAGRANDE","Boyacá","07127"
"GONZALO GUARIN VIVAS",69,3.77,"PARTIDO CENTRO DEMOCRÁTICO","LABRANZAGRANDE","Boyacá","07127"
"JUAN DE JESUS CORDOBA SUAREZ",64,3.5,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","LABRANZAGRANDE","Boyacá","07127"
"CESAR AUGUSTO PACHON ACHURY",27,1.47,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","LABRANZAGRANDE","Boyacá","07127"
"OSMAN HIPOLITO ROA SARMIENTO",1273,63.08,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","MACANAL","Boyacá","07142"
"CARLOS ANDRES AMAYA RODRIGUEZ",354,17.54,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","MACANAL","Boyacá","07142"
"JUAN DE JESUS CORDOBA SUAREZ",166,8.22,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","MACANAL","Boyacá","07142"
"GONZALO GUARIN VIVAS",119,5.89,"PARTIDO CENTRO DEMOCRÁTICO","MACANAL","Boyacá","07142"
"CESAR AUGUSTO PACHON ACHURY",67,3.32,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","MACANAL","Boyacá","07142"
"OSMAN HIPOLITO ROA SARMIENTO",2571,74.78,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","MARIPI","Boyacá","07148"
"CARLOS ANDRES AMAYA RODRIGUEZ",445,12.94,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","MARIPI","Boyacá","07148"
"JUAN DE JESUS CORDOBA SUAREZ",256,7.44,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","MARIPI","Boyacá","07148"
"GONZALO GUARIN VIVAS",64,1.86,"PARTIDO CENTRO DEMOCRÁTICO","MARIPI","Boyacá","07148"
"CESAR AUGUSTO PACHON ACHURY",44,1.27,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","MARIPI","Boyacá","07148"
"CARLOS ANDRES AMAYA RODRIGUEZ",3120,60.94,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","MIRAFLORES","Boyacá","07151"
"OSMAN HIPOLITO ROA SARMIENTO",746,14.57,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","MIRAFLORES","Boyacá","07151"
"CESAR AUGUSTO PACHON ACHURY",738,14.41,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","MIRAFLORES","Boyacá","07151"
"GONZALO GUARIN VIVAS",216,4.21,"PARTIDO CENTRO DEMOCRÁTICO","MIRAFLORES","Boyacá","07151"
"JUAN DE JESUS CORDOBA SUAREZ",121,2.36,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","MIRAFLORES","Boyacá","07151"
"OSMAN HIPOLITO ROA SARMIENTO",1189,40.4,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","MONGUA","Boyacá","07154"
"CARLOS ANDRES AMAYA RODRIGUEZ",1138,38.66,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","MONGUA","Boyacá","07154"
"CESAR AUGUSTO PACHON ACHURY",286,9.71,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","MONGUA","Boyacá","07154"
"GONZALO GUARIN VIVAS",156,5.3,"PARTIDO CENTRO DEMOCRÁTICO","MONGUA","Boyacá","07154"
"JUAN DE JESUS CORDOBA SUAREZ",92,3.12,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","MONGUA","Boyacá","07154"
"CARLOS ANDRES AMAYA RODRIGUEZ",1011,38.23,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","MONGUI","Boyacá","07157"
"CESAR AUGUSTO PACHON ACHURY",782,29.57,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","MONGUI","Boyacá","07157"
"OSMAN HIPOLITO ROA SARMIENTO",656,24.81,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","MONGUI","Boyacá","07157"
"GONZALO GUARIN VIVAS",97,3.66,"PARTIDO CENTRO DEMOCRÁTICO","MONGUI","Boyacá","07157"
"JUAN DE JESUS CORDOBA SUAREZ",46,1.73,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","MONGUI","Boyacá","07157"
"OSMAN HIPOLITO ROA SARMIENTO",3400,35.81,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","MONIQUIRA","Boyacá","07160"
"CARLOS ANDRES AMAYA RODRIGUEZ",3044,32.06,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","MONIQUIRA","Boyacá","07160"
"GONZALO GUARIN VIVAS",882,9.29,"PARTIDO CENTRO DEMOCRÁTICO","MONIQUIRA","Boyacá","07160"
"CESAR AUGUSTO PACHON ACHURY",806,8.49,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","MONIQUIRA","Boyacá","07160"
"JUAN DE JESUS CORDOBA SUAREZ",790,8.32,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","MONIQUIRA","Boyacá","07160"
"CARLOS ANDRES AMAYA RODRIGUEZ",2084,55.39,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","MOTAVITA","Boyacá","07161"
"CESAR AUGUSTO PACHON ACHURY",712,18.92,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","MOTAVITA","Boyacá","07161"
"OSMAN HIPOLITO ROA SARMIENTO",662,17.59,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","MOTAVITA","Boyacá","07161"
"GONZALO GUARIN VIVAS",165,4.38,"PARTIDO CENTRO DEMOCRÁTICO","MOTAVITA","Boyacá","07161"
"JUAN DE JESUS CORDOBA SUAREZ",61,1.62,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","MOTAVITA","Boyacá","07161"
"OSMAN HIPOLITO ROA SARMIENTO",1615,41.96,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","MUZO","Boyacá","07163"
"GONZALO GUARIN VIVAS",999,25.96,"PARTIDO CENTRO DEMOCRÁTICO","MUZO","Boyacá","07163"
"CARLOS ANDRES AMAYA RODRIGUEZ",592,15.38,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","MUZO","Boyacá","07163"
"JUAN DE JESUS CORDOBA SUAREZ",397,10.31,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","MUZO","Boyacá","07163"
"CESAR AUGUSTO PACHON ACHURY",64,1.66,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","MUZO","Boyacá","07163"
"CESAR AUGUSTO PACHON ACHURY",3642,40.99,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","NOBSA","Boyacá","07166"
"CARLOS ANDRES AMAYA RODRIGUEZ",3214,36.17,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","NOBSA","Boyacá","07166"
"OSMAN HIPOLITO ROA SARMIENTO",1471,16.55,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","NOBSA","Boyacá","07166"
"GONZALO GUARIN VIVAS",276,3.1,"PARTIDO CENTRO DEMOCRÁTICO","NOBSA","Boyacá","07166"
"JUAN DE JESUS CORDOBA SUAREZ",65,0.73,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","NOBSA","Boyacá","07166"
"OSMAN HIPOLITO ROA SARMIENTO",1505,45.67,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","NUEVO COLON","Boyacá","07169"
"CARLOS ANDRES AMAYA RODRIGUEZ",923,28.01,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","NUEVO COLON","Boyacá","07169"
"CESAR AUGUSTO PACHON ACHURY",656,19.9,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","NUEVO COLON","Boyacá","07169"
"JUAN DE JESUS CORDOBA SUAREZ",99,3,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","NUEVO COLON","Boyacá","07169"
"GONZALO GUARIN VIVAS",52,1.57,"PARTIDO CENTRO DEMOCRÁTICO","NUEVO COLON","Boyacá","07169"
"CARLOS ANDRES AMAYA RODRIGUEZ",613,34.53,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","OICATA","Boyacá","07173"
"OSMAN HIPOLITO ROA SARMIENTO",492,27.71,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","OICATA","Boyacá","07173"
"CESAR AUGUSTO PACHON ACHURY",420,23.66,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","OICATA","Boyacá","07173"
"GONZALO GUARIN VIVAS",131,7.38,"PARTIDO CENTRO DEMOCRÁTICO","OICATA","Boyacá","07173"
"JUAN DE JESUS CORDOBA SUAREZ",64,3.6,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","OICATA","Boyacá","07173"
"CARLOS ANDRES AMAYA RODRIGUEZ",1297,35.79,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","OTANCHE","Boyacá","07176"
"GONZALO GUARIN VIVAS",1000,27.6,"PARTIDO CENTRO DEMOCRÁTICO","OTANCHE","Boyacá","07176"
"OSMAN HIPOLITO ROA SARMIENTO",809,22.32,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","OTANCHE","Boyacá","07176"
"JUAN DE JESUS CORDOBA SUAREZ",271,7.47,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","OTANCHE","Boyacá","07176"
"CESAR AUGUSTO PACHON ACHURY",47,1.29,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","OTANCHE","Boyacá","07176"
"OSMAN HIPOLITO ROA SARMIENTO",671,49.12,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","PACHAVITA","Boyacá","07178"
"CARLOS ANDRES AMAYA RODRIGUEZ",420,30.74,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","PACHAVITA","Boyacá","07178"
"GONZALO GUARIN VIVAS",169,12.37,"PARTIDO CENTRO DEMOCRÁTICO","PACHAVITA","Boyacá","07178"
"CESAR AUGUSTO PACHON ACHURY",46,3.36,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","PACHAVITA","Boyacá","07178"
"JUAN DE JESUS CORDOBA SUAREZ",19,1.39,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","PACHAVITA","Boyacá","07178"
"CARLOS ANDRES AMAYA RODRIGUEZ",1061,66.1,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","PAEZ","Boyacá","07179"
"OSMAN HIPOLITO ROA SARMIENTO",198,12.33,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","PAEZ","Boyacá","07179"
"GONZALO GUARIN VIVAS",167,10.4,"PARTIDO CENTRO DEMOCRÁTICO","PAEZ","Boyacá","07179"
"JUAN DE JESUS CORDOBA SUAREZ",78,4.85,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","PAEZ","Boyacá","07179"
"CESAR AUGUSTO PACHON ACHURY",47,2.92,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","PAEZ","Boyacá","07179"
"CARLOS ANDRES AMAYA RODRIGUEZ",9184,56.77,"PARTIDO ALIANZA VERDE - PARTIDO LIBERAL COLOMBIANO","PAIPA","Boyacá","07181"
"OSMAN HIPOLITO ROA SARMIENTO",3710,22.93,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","PAIPA","Boyacá","07181"
"CESAR AUGUSTO PACHON ACHURY",1428,8.82,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""","PAIPA","Boyacá","07181"
"GONZALO GUARIN VIVAS",1110,6.86,"PARTIDO CENTRO DEMOCRÁTICO","PAIPA","Boyacá","07181"
"JUAN DE JESUS CORDOBA SUAREZ",184,1.13,"PARTIDO CONSERVADOR - PARTIDO DE LA U - OPCIÓN CIUDADANA","PAIPA","Boyacá","07181"
"OSMAN HIPOLITO ROA SARMIENTO",342,37.33,"""UNIDOS PARA EL PROGRESO DE BOYACÁ"" - CAMBIO RADICAL - ASI","PAJARITO","Boyacá","07184"
